Date,Number_of_rides
2016-06-01,42869
2016-06-02,46339
2016-06-03,54391
2016-06-04,66186
2016-06-05,51552
2016-06-06,38993
2016-06-07,40615
2016-06-08,47278
2016-06-09,45042
2016-06-10,50795
2016-06-11,59278
2016-06-12,48480
2016-06-13,37941
2016-06-14,37737
2016-06-15,42177
2016-06-16,45686
2016-06-17,52327
2016-06-18,60909
2016-06-19,52528
2016-06-20,38499
2016-06-21,39289
2016-06-22,41869
2016-06-23,45032
2016-06-24,50677
2016-06-25,58952
2016-06-26,51363
2016-06-27,39832
2016-06-28,37497
2016-06-29,38168
2016-06-30,42425
