Date,Number_of_drops
2016-06-01,42189
2016-06-02,46161
2016-06-03,53952
2016-06-04,65815
2016-06-05,52419
2016-06-06,39267
2016-06-07,40470
2016-06-08,47206
2016-06-09,44948
2016-06-10,50382
2016-06-11,59121
2016-06-12,49083
2016-06-13,38132
2016-06-14,37723
2016-06-15,42072
2016-06-16,45412
2016-06-17,52100
2016-06-18,60569
2016-06-19,53134
2016-06-20,38936
2016-06-21,39201
2016-06-22,41835
2016-06-23,44901
2016-06-24,50219
2016-06-25,58603
2016-06-26,52008
2016-06-27,40122
2016-06-28,37529
2016-06-29,38165
2016-06-30,42193
2016-07-01,859
