Distance_in_km,Number_of_rides
(1 - 2),391298
(2 - 3),248262
(0 - 1),225975
(3 - 4),160453
(4 - 5),108836
(5 - 6),72159
(6 - 7),51861
(7 - 8),37051
(8 - 9),26803
(9 - 10),19084
(10 - 11),13444
(11 - 12),9843
(12 - 13),8128
(13 - 14),6367
(14 - 15),4493
(15 - 16),3527
(16 - 17),3169
(17 - 18),2946
(18 - 19),2454
(19 - 20),976
(23 - 24),927
(21 - 22),880
(22 - 23),837
(20 - 21),690
(24 - 25),466
(25 - 26),321
(26 - 27),242
(27 - 28),115
(28 - 29),65
(29 - 30),45
(30 - 31),44
(31 - 32),39
(32 - 33),32
(33 - 34),28
(34 - 35),22
(36 - 37),17
(37 - 38),16
(38 - 39),15
(35 - 36),14
(45 - 46),11
(42 - 43),10
(40 - 41),9
(41 - 42),9
(39 - 40),9
(46 - 47),9
(43 - 44),7
(55 - 56),6
(47 - 48),6
(52 - 53),5
(51 - 52),5
(50 - 51),5
(48 - 49),5
(44 - 45),5
(58 - 59),3
(54 - 55),3
(150 - 151),3
(60 - 61),3
(59 - 60),3
(57 - 58),3
(71 - 72),2
(53 - 54),2
(49 - 50),2
(84 - 85),2
(83 - 84),2
(118 - 119),1
(134 - 135),1
(136 - 137),1
(172 - 173),1
(117 - 118),1
(109 - 110),1
(87 - 88),1
(108 - 109),1
(103 - 104),1
(155 - 156),1
(79 - 80),1
(284 - 285),1
(86 - 87),1
(75 - 76),1
(74 - 75),1
(72 - 73),1
(69 - 70),1
(68 - 69),1
(67 - 68),1
(65 - 66),1
(64 - 65),1
(56 - 57),1
(77 - 78),1
(95 - 96),1
